Rank,Platform,Year,Genre,Publisher,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Bin_Global_Sales
34,PS4,2015,Shooter,Activision,Call of Duty: Black Ops 3,5.77,5.81,0.35,2.31,14.24,2.0
35,PS3,2012,Shooter,Activision,Call of Duty: Black Ops II,4.99,5.88,0.65,2.52,14.03,2.0
36,X360,2012,Shooter,Activision,Call of Duty: Black Ops II,8.25,4.3,0.07,1.12,13.73,2.0
37,X360,2009,Shooter,Activision,Call of Duty: Modern Warfare 2,8.52,3.63,0.08,1.29,13.51,2.0
38,PS3,2011,Shooter,Activision,Call of Duty: Modern Warfare 3,5.54,5.82,0.49,1.62,13.46,2.0
39,PS2,2001,Action,Take-Two Interactive,Grand Theft Auto III,6.99,4.51,0.3,1.3,13.1,2.0
40,Wii,2008,Fighting,Nintendo,Super Smash Bros. Brawl,6.75,2.61,2.66,1.02,13.04,2.0
41,PS3,2010,Shooter,Activision,Call of Duty: Black Ops,5.98,4.44,0.48,1.83,12.73,2.0
42,DS,2005,Simulation,Nintendo,Animal Crossing: Wild World,2.55,3.52,5.33,0.88,12.27,2.0
43,3DS,2011,Racing,Nintendo,Mario Kart 7,4.74,3.91,2.67,0.89,12.21,2.0
44,X360,2007,Shooter,Microsoft Game Studios,Halo 3,7.97,2.83,0.13,1.21,12.14,2.0
45,PS4,2014,Action,Take-Two Interactive,Grand Theft Auto V,3.8,5.81,0.36,2.02,11.98,2.0
46,DS,2009,Action,Nintendo,Pokemon HeartGold/Pokemon SoulSilver,4.4,2.77,3.96,0.77,11.9,2.0
47,N64,1996,Platform,Nintendo,Super Mario 64,6.91,2.85,1.91,0.23,11.89,2.0
48,PS2,2004,Racing,Sony Computer Entertainment,Gran Turismo 4,3.01,0.01,1.1,7.53,11.66,2.0
49,Wii,2007,Platform,Nintendo,Super Mario Galaxy,6.16,3.4,1.2,0.76,11.52,2.0
50,3DS,2014,Role-Playing,Nintendo,Pokemon Omega Ruby/Pokemon Alpha Sapphire,4.23,3.37,3.08,0.65,11.33,2.0
51,GB,1992,Adventure,Nintendo,Super Mario Land 2: 6 Golden Coins,6.16,2.04,2.69,0.29,11.18,2.0
52,X360,2008,Action,Take-Two Interactive,Grand Theft Auto IV,6.76,3.1,0.14,1.03,11.02,2.0
53,PS,1997,Racing,Sony Computer Entertainment,Gran Turismo,4.02,3.87,2.54,0.52,10.95,2.0
54,3DS,2011,Platform,Nintendo,Super Mario 3D Land,4.89,2.99,2.13,0.78,10.79,2.0
55,PS3,2010,Racing,Sony Computer Entertainment,Gran Turismo 5,2.96,4.88,0.81,2.12,10.77,2.0
56,PS3,2009,Shooter,Activision,Call of Duty: Modern Warfare 2,4.99,3.69,0.38,1.63,10.69,2.0
57,PS3,2008,Action,Take-Two Interactive,Grand Theft Auto IV,4.76,3.76,0.44,1.62,10.57,2.0
58,SNES,1993,Platform,Nintendo,Super Mario All-Stars,5.99,2.15,2.12,0.29,10.55,2.0
59,GBA,2004,Role-Playing,Nintendo,Pokemon FireRed/Pokemon LeafGreen,4.34,2.65,3.15,0.35,10.49,2.0
60,DS,2004,Platform,Nintendo,Super Mario 64,5.08,3.11,1.25,0.98,10.42,2.0
61,Wii,2011,Misc,Ubisoft,Just Dance 3,6.05,3.15,0.0,1.07,10.26,2.0
62,X360,2013,Shooter,Activision,Call of Duty: Ghosts,6.72,2.63,0.04,0.82,10.21,2.0
63,X360,2010,Shooter,Microsoft Game Studios,Halo: Reach,7.03,1.98,0.08,0.78,9.88,1.0
64,N64,1996,Racing,Nintendo,Mario Kart 64,5.55,1.94,2.23,0.15,9.87,1.0
65,3DS,2012,Platform,Nintendo,New Super Mario Bros. 2,3.66,3.07,2.47,0.63,9.82,1.0
66,X360,2012,Shooter,Microsoft Game Studios,Halo 4,6.63,2.36,0.04,0.73,9.76,1.0
67,PS,1997,Role-Playing,Sony Computer Entertainment,Final Fantasy VII,3.01,2.47,3.28,0.96,9.72,1.0
68,PS3,2013,Shooter,Activision,Call of Duty: Ghosts,4.09,3.73,0.38,1.38,9.59,1.0
69,Wii,2010,Misc,Ubisoft,Just Dance 2,5.84,2.89,0.01,0.78,9.52,1.0
70,PS,1999,Racing,Sony Computer Entertainment,Gran Turismo 2,3.88,3.42,1.69,0.5,9.49,1.0
71,X360,2007,Shooter,Activision,Call of Duty 4: Modern Warfare,5.91,2.38,0.13,0.9,9.32,1.0
72,SNES,1994,Platform,Nintendo,Donkey Kong Country,4.36,1.71,3.0,0.23,9.3,1.0
73,X360,2013,Misc,Microsoft Game Studios,Minecraft,5.58,2.83,0.02,0.77,9.2,1.0
74,3DS,2012,Simulation,Nintendo,Animal Crossing: New Leaf,2.01,2.32,4.36,0.41,9.09,1.0
75,DS,2007,Misc,Nintendo,Mario Party DS,4.46,1.88,1.98,0.7,9.02,1.0
76,X360,2011,Role-Playing,Bethesda Softworks,The Elder Scrolls V: Skyrim,5.03,2.86,0.1,0.85,8.84,1.0
77,SNES,1992,Racing,Nintendo,Super Mario Kart,3.54,1.24,3.81,0.18,8.76,1.0
78,PS4,2015,Sports,Electronic Arts,FIFA 16,1.11,6.06,0.06,1.26,8.49,1.0
79,Wii,2010,Misc,Nintendo,Wii Party,1.79,3.53,2.49,0.68,8.49,1.0
80,XB,2004,Shooter,Microsoft Game Studios,Halo 2,6.82,1.53,0.05,0.08,8.49,1.0
81,Wii,2007,Misc,Nintendo,Mario Party 8,3.81,2.3,1.58,0.73,8.42,1.0
82,DS,2012,Role-Playing,Nintendo,Pokemon Black 2/Pokemon White 2,2.91,1.86,3.14,0.43,8.33,1.0
83,PS3,2012,Action,Electronic Arts,FIFA Soccer 13,1.06,5.05,0.13,2.01,8.24,1.0
84,PC,2009,Simulation,Electronic Arts,The Sims 3,0.98,6.42,0.0,0.71,8.11,1.0
85,N64,1997,Shooter,Nintendo,GoldenEye 007,5.8,2.01,0.13,0.15,8.09,1.0
86,Wii,2007,Sports,Sega,Mario & Sonic at the Olympic Games,2.58,3.9,0.66,0.91,8.06,1.0
87,PS2,2001,Role-Playing,Sony Computer Entertainment,Final Fantasy X,2.91,2.07,2.73,0.33,8.05,1.0
88,PS,1999,Role-Playing,SquareSoft,Final Fantasy VIII,2.28,1.72,3.63,0.23,7.86,1.0
89,DS,2008,Role-Playing,Nintendo,Pok茅mon Platinum Version,2.82,1.78,2.69,0.55,7.84,1.0
90,2600,1982,Puzzle,Atari,Pac-Man,7.28,0.45,0.0,0.08,7.81,1.0
91,PSP,2005,Action,Take-Two Interactive,Grand Theft Auto: Liberty City Stories,2.9,2.83,0.24,1.75,7.72,1.0
92,Wii,2010,Platform,Nintendo,Super Mario Galaxy 2,3.66,2.42,0.98,0.64,7.69,1.0
93,PS4,2015,Shooter,Electronic Arts,Star Wars Battlefront (2015),2.93,3.29,0.22,1.23,7.67,1.0
94,PS4,2014,Shooter,Activision,Call of Duty: Advanced Warfare,2.8,3.3,0.14,1.37,7.6,1.0
95,N64,1998,Action,Nintendo,The Legend of Zelda: Ocarina of Time,4.1,1.89,1.45,0.16,7.6,1.0
96,PS,1997,Platform,Sony Computer Entertainment,Crash Bandicoot 2: Cortex Strikes Back,3.78,2.17,1.31,0.31,7.58,1.0
97,NES,1988,Platform,Nintendo,Super Mario Bros. 2,5.39,1.18,0.7,0.19,7.46,1.0
98,3DS,2014,Fighting,Nintendo,Super Smash Bros. for Wii U and 3DS,3.24,1.35,2.42,0.43,7.45,1.0
99,X360,2008,Shooter,Activision,Call of Duty: World at War,4.79,1.9,0.0,0.69,7.37,1.0
100,X360,2011,Shooter,Electronic Arts,Battlefield 3,4.46,2.13,0.06,0.69,7.34,1.0
101,Wii,2006,Action,Nintendo,The Legend of Zelda: Twilight Princess,3.83,2.19,0.6,0.7,7.31,1.0
102,XOne,2015,Shooter,Activision,Call of Duty: Black Ops 3,4.52,2.09,0.01,0.67,7.3,1.0
103,Wii,2009,Misc,Ubisoft,Just Dance,3.51,3.03,0.0,0.73,7.27,1.0
104,PS3,2011,Shooter,Electronic Arts,Battlefield 3,2.85,2.93,0.35,1.1,7.23,1.0
105,PS2,2003,Racing,Electronic Arts,Need for Speed Underground,3.27,2.83,0.08,1.02,7.2,1.0
106,PS,1998,Fighting,Sony Computer Entertainment,Tekken 3,3.27,2.22,1.4,0.29,7.16,1.0
107,PS,1998,Platform,Sony Computer Entertainment,Crash Bandicoot 3: Warped,3.68,1.75,1.42,0.28,7.13,1.0
108,GC,2001,Fighting,Nintendo,Super Smash Bros. Melee,4.41,1.04,1.39,0.22,7.07,1.0
109,WiiU,2014,Racing,Nintendo,Mario Kart 8,3.13,2.07,1.27,0.49,6.96,1.0
110,PS4,2015,Role-Playing,Bethesda Softworks,Fallout 4,2.47,3.15,0.24,1.1,6.96,1.0
111,GC,2003,Racing,Nintendo,Mario Kart: Double Dash!!,4.12,1.77,0.87,0.19,6.95,1.0
112,Wii,2012,Misc,Ubisoft,Just Dance 4,4.14,2.21,0.0,0.56,6.91,1.0
113,PS3,2013,Sports,Electronic Arts,FIFA 14,0.78,4.32,0.07,1.73,6.9,1.0
114,PS2,2004,Racing,Electronic Arts,Need for Speed Underground 2,2.71,3.02,0.08,1.09,6.9,1.0
115,PS2,2002,Shooter,Electronic Arts,Medal of Honor: Frontline,2.93,2.75,0.17,0.99,6.83,1.0
116,PS3,2011,Action,Sony Computer Entertainment,Uncharted 3: Drake's Deception,2.77,2.8,0.19,1.06,6.83,1.0
117,PS,1996,Platform,Sony Computer Entertainment,Crash Bandicoot,3.23,2.35,0.94,0.3,6.82,1.0
118,Wii,2010,Sports,505 Games,Zumba Fitness,3.5,2.64,0.0,0.67,6.81,1.0
119,X360,2008,Shooter,Microsoft Game Studios,Gears of War 2,4.15,1.92,0.06,0.64,6.76,1.0
120,PS3,2009,Action,Sony Computer Entertainment,Uncharted 2: Among Thieves,3.27,2.25,0.21,1.0,6.73,1.0
121,PS3,2007,Shooter,Activision,Call of Duty 4: Modern Warfare,3.1,2.3,0.28,1.04,6.72,1.0
122,PS3,2011,Sports,Electronic Arts,FIFA 12,0.84,4.32,0.11,1.42,6.69,1.0
123,DS,2005,Misc,Nintendo,Big Brain Academy,1.67,2.78,1.6,0.62,6.67,1.0
124,PS3,2010,Action,Take-Two Interactive,Red Dead Redemption,2.79,2.61,0.17,1.03,6.6,1.0
125,PS4,2014,Sports,Electronic Arts,FIFA 15,0.79,4.29,0.05,1.47,6.59,1.0
126,Wii,2010,Platform,Nintendo,Donkey Kong Country Returns,3.25,1.84,1.03,0.47,6.59,1.0
127,PS3,2011,Role-Playing,Bethesda Softworks,The Elder Scrolls V: Skyrim,2.55,2.71,0.25,1.05,6.56,1.0
128,NES,1986,Action,Nintendo,The Legend of Zelda,3.74,0.93,1.69,0.14,6.51,1.0
129,PS3,2012,Action,Ubisoft,Assassin's Creed III,2.64,2.56,0.16,1.14,6.5,1.0
130,XB,2001,Shooter,Microsoft Game Studios,Halo: Combat Evolved,4.98,1.3,0.08,0.07,6.43,1.0
131,GBA,2004,Role-Playing,Nintendo,Pok茅mon Emerald Version,2.57,1.58,2.06,0.21,6.41,1.0
132,PS2,2002,Role-Playing,Sony Computer Entertainment,Kingdom Hearts,3.64,1.2,1.49,0.07,6.4,1.0
133,GB,2000,Role-Playing,Nintendo,Pok茅mon Crystal Version,2.55,1.56,1.29,0.99,6.39,1.0
134,X360,2009,Shooter,Microsoft Game Studios,Halo 3: ODST,4.34,1.35,0.06,0.61,6.36,1.0
135,X360,2010,Action,Take-Two Interactive,Red Dead Redemption,3.7,1.97,0.09,0.57,6.34,1.0
136,GC,2002,Platform,Nintendo,Super Mario Sunshine,4.01,1.26,0.87,0.17,6.31,1.0
137,SNES,1992,Fighting,Capcom,Street Fighter II: The World Warrior,2.47,0.83,2.87,0.12,6.3,1.0
138,PC,2004,Role-Playing,Activision,World of Warcraft,0.07,6.21,0.0,0.0,6.28,1.0
139,PS,1999,Action,GT Interactive,Driver,3.11,2.8,0.02,0.33,6.27,1.0
140,X360,2010,Sports,Microsoft Game Studios,Kinect Sports,3.92,1.78,0.03,0.51,6.24,1.0
141,X360,2011,Shooter,Microsoft Game Studios,Gears of War 3,4.05,1.62,0.07,0.49,6.24,1.0
142,X360,2006,Shooter,Microsoft Game Studios,Gears of War,3.54,1.9,0.07,0.6,6.11,1.0
143,PS2,2001,Action,Konami Digital Entertainment,Metal Gear Solid 2: Sons of Liberty,2.45,2.01,0.87,0.72,6.05,1.0
144,GEN,1992,Platform,Sega,Sonic the Hedgehog 2,4.47,1.2,0.16,0.19,6.03,1.0
145,PS3,2008,Action,Konami Digital Entertainment,Metal Gear Solid 4: Guns of the Patriots,2.63,1.74,0.83,0.83,6.03,1.0
146,PS,1998,Action,Konami Digital Entertainment,Metal Gear Solid,3.18,1.83,0.78,0.24,6.03,1.0
147,PS3,2013,Action,Sony Computer Entertainment Europe,The Last of Us,2.41,2.28,0.28,1.01,5.99,1.0
148,PS2,2006,Role-Playing,Square Enix,Final Fantasy XII,1.88,0.0,2.33,1.74,5.95,1.0
149,PS3,2008,Platform,Sony Computer Entertainment,LittleBigPlanet,2.8,2.05,0.17,0.9,5.92,1.0
150,DS,2009,Role-Playing,Nintendo,Dragon Quest IX: Sentinels of the Starry Skies,0.66,0.69,4.35,0.15,5.84,1.0
151,Wii,2007,Action,LucasArts,LEGO Star Wars: The Complete Saga,3.66,1.63,0.0,0.53,5.83,1.0
152,PS,1998,Action,Virgin Interactive,Resident Evil 2,1.88,1.47,2.02,0.45,5.82,1.0
153,PS,1996,Fighting,Sony Computer Entertainment,Tekken 2,2.26,1.89,1.36,0.23,5.74,1.0
154,DS,2006,Simulation,505 Games,Cooking Mama,3.13,1.94,0.07,0.58,5.72,1.0
155,PS4,2014,Shooter,Activision,Destiny,2.49,2.05,0.16,0.96,5.65,1.0
156,NES,1988,Puzzle,Nintendo,Tetris,2.97,0.69,1.81,0.11,5.58,1.0
157,PS3,2009,Action,Ubisoft,Assassin's Creed II,2.54,1.95,0.21,0.87,5.57,1.0
158,N64,1999,Fighting,Nintendo,Super Smash Bros.,2.95,0.6,1.97,0.04,5.55,1.0
159,X360,2007,Adventure,Ubisoft,Assassin's Creed,3.28,1.65,0.07,0.55,5.55,1.0
160,PS3,2011,Action,Warner Bros. Interactive Entertainment,Batman: Arkham City,2.7,1.91,0.11,0.8,5.53,1.0
161,X360,2009,Racing,Microsoft Game Studios,Forza Motorsport 3,2.99,1.92,0.1,0.51,5.51,1.0
162,PSP,2008,Role-Playing,Capcom,Monster Hunter Freedom Unite,0.47,0.57,4.13,0.34,5.5,1.0
163,GBA,2001,Platform,Nintendo,Super Mario Advance,3.14,1.24,0.91,0.2,5.49,1.0
164,GBA,2001,Racing,Nintendo,Mario Kart: Super Circuit,2.62,1.64,0.99,0.23,5.47,1.0
165,GBA,2001,Platform,Nintendo,Super Mario World,3.21,1.11,0.95,0.2,5.46,1.0
166,N64,1999,Strategy,Nintendo,Pokemon Stadium,3.18,1.24,0.94,0.09,5.45,1.0
167,PS3,2008,Shooter,Activision,Call of Duty: World at War,2.72,1.87,0.0,0.84,5.43,1.0
168,PS2,2001,Platform,Universal Interactive,Crash Bandicoot: The Wrath of Cortex,2.07,2.29,0.24,0.82,5.42,1.0
169,PS3,2014,Misc,Sony Computer Entertainment,Minecraft,1.97,2.51,0.0,0.94,5.42,1.0
170,PS3,2009,Role-Playing,Square Enix,Final Fantasy XIII,1.74,1.24,1.87,0.52,5.36,1.0
171,GB,1989,Puzzle,Nintendo,Dr. Mario,2.18,0.96,2.0,0.2,5.34,1.0
172,GB,1999,Misc,Nintendo,Pokemon Pinball,3.02,1.12,1.01,0.16,5.31,1.0
173,X360,2012,Action,Ubisoft,Assassin's Creed III,3.13,1.71,0.03,0.44,5.3,1.0
174,PS,2000,Role-Playing,SquareSoft,Final Fantasy IX,1.62,0.77,2.78,0.14,5.3,1.0
175,PS2,2003,Role-Playing,Electronic Arts,Final Fantasy X-2,1.92,1.08,2.11,0.17,5.29,1.0
176,N64,1999,Platform,Nintendo,Donkey Kong 64,3.33,0.79,1.09,0.06,5.27,1.0
177,X360,2009,Action,Ubisoft,Assassin's Creed II,3.1,1.56,0.08,0.51,5.27,1.0
178,DS,2007,Puzzle,Nintendo,Professor Layton and the Curious Village,1.22,2.48,1.03,0.52,5.26,1.0
179,PS,1997,Action,Eidos Interactive,Tomb Raider II,2.3,2.46,0.2,0.28,5.24,1.0
181,PS2,2004,Role-Playing,Square Enix,Dragon Quest VIII: Journey of the Cursed King,0.65,0.75,3.61,0.2,5.21,1.0
182,PC,2012,Role-Playing,Activision,Diablo III,2.43,2.15,0.0,0.62,5.2,1.0
183,GBA,2003,Platform,Nintendo,Super Mario Bros. 3,2.93,1.25,0.83,0.2,5.2,1.0
184,WiiU,2012,Platform,Nintendo,New Super Mario Bros. U,2.32,1.3,1.27,0.31,5.19,1.0
185,GB,1994,Platform,Nintendo,Super Mario Land 3: Wario Land,2.49,0.98,1.57,0.15,5.19,1.0
186,X360,2012,Action,Electronic Arts,FIFA Soccer 13,1.08,3.48,0.03,0.58,5.18,1.0
187,DS,2007,Action,Nintendo,The Legend of Zelda: Phantom Hourglass,1.9,1.83,0.95,0.49,5.17,1.0
188,SNES,1995,Platform,Nintendo,Donkey Kong Country 2: Diddy's Kong Quest,2.1,0.74,2.2,0.11,5.15,1.0
189,3DS,2013,Simulation,Nintendo,Tomodachi Life,0.96,2.02,1.89,0.28,5.15,1.0
190,DS,2008,Sports,Sega,Mario & Sonic at the Olympic Games,1.64,2.48,0.44,0.58,5.14,1.0
191,PS2,2003,Shooter,Electronic Arts,Medal of Honor: Rising Sun,1.98,2.23,0.13,0.8,5.13,1.0
192,GB,1992,Platform,Nintendo,Kirby's Dream Land,2.71,0.61,1.7,0.11,5.13,1.0
193,X360,2010,Role-Playing,Microsoft Game Studios,Fable III,3.59,1.11,0.05,0.38,5.13,1.0
194,XOne,2014,Shooter,Activision,Call of Duty: Advanced Warfare,3.21,1.53,0.01,0.38,5.13,1.0
195,PC,1996,Simulation,Microsoft Game Studios,Microsoft Flight Simulator,3.22,1.69,0.0,0.2,5.12,1.0
196,PS2,2006,Misc,RedOctane,Guitar Hero II,3.81,0.63,0.0,0.68,5.12,1.0
197,PS3,2009,Action,Capcom,Resident Evil 5,1.96,1.43,1.08,0.65,5.11,1.0
198,XOne,2014,Action,Take-Two Interactive,Grand Theft Auto V,2.66,2.01,0.0,0.41,5.08,1.0
199,PSP,2006,Action,Take-Two Interactive,Grand Theft Auto: Vice City Stories,1.7,2.02,0.16,1.21,5.08,1.0
200,PS3,2010,Sports,Electronic Arts,FIFA Soccer 11,0.6,3.29,0.06,1.13,5.08,1.0
201,GB,1999,Platform,Nintendo,Super Mario Bros.,3.4,1.3,0.15,0.22,5.07,1.0
202,PS,1996,Action,Virgin Interactive,Resident Evil,2.05,1.16,1.11,0.73,5.05,1.0
203,PS,1999,Sports,Activision,Tony Hawk's Pro Skater,3.42,1.38,0.02,0.2,5.02,1.0
204,WiiU,2014,Fighting,Nintendo,Super Smash Bros. for Wii U and 3DS,2.59,1.06,0.8,0.57,5.02,1.0
205,PS,1999,Strategy,Eidos Interactive,Warzone 2100,2.79,1.89,0.0,0.33,5.01,1.0
206,PS,1998,Platform,Sony Computer Entertainment,Spyro the Dragon,3.36,1.36,0.07,0.21,5.0,1.0
207,Wii,2007,Shooter,Nintendo,Link's Crossbow Training,3.06,1.18,0.29,0.46,5.0,1.0
208,PS2,2007,Misc,Activision,Guitar Hero III: Legends of Rock,3.49,0.01,0.01,1.48,4.98,0.0
209,X360,2008,Role-Playing,Bethesda Softworks,Fallout 3,3.39,1.03,0.09,0.44,4.96,0.0
210,DS,2007,Role-Playing,Nintendo,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1.85,1.2,1.54,0.37,4.96,0.0
211,PS3,2007,Action,Sony Computer Entertainment,Uncharted: Drake's Fortune,2.31,1.73,0.12,0.78,4.94,0.0
212,PS2,2005,Sports,Electronic Arts,Madden NFL 06,3.98,0.26,0.01,0.66,4.91,0.0
213,DS,2007,Action,LucasArts,LEGO Star Wars: The Complete Saga,2.89,1.54,0.0,0.46,4.9,0.0
214,N64,1997,Racing,Nintendo,Diddy Kong Racing,2.91,0.99,0.89,0.1,4.88,0.0
215,PSP,2010,Role-Playing,Capcom,Monster Hunter Freedom 3,0.0,0.0,4.87,0.0,4.87,0.0
216,NES,1990,Puzzle,Nintendo,Dr. Mario,2.62,0.6,1.52,0.1,4.85,0.0
217,PS3,2010,Action,Sony Computer Entertainment,God of War III,2.74,1.36,0.12,0.63,4.84,0.0
218,PC,2010,Strategy,Activision,StarCraft II: Wings of Liberty,2.56,1.68,0.0,0.59,4.83,0.0
219,PS3,2007,Adventure,Ubisoft,Assassin's Creed,1.91,2.0,0.09,0.83,4.83,0.0
220,PS3,2014,Sports,Electronic Arts,FIFA 15,0.57,3.14,0.04,1.07,4.82,0.0
221,PS,1999,Racing,Sony Computer Entertainment,Crash Team Racing,2.57,1.57,0.44,0.21,4.79,0.0
222,PS4,2016,Sports,Electronic Arts,FIFA 17,0.28,3.75,0.06,0.69,4.77,0.0
223,X360,2011,Action,Warner Bros. Interactive Entertainment,Batman: Arkham City,2.99,1.31,0.04,0.41,4.76,0.0
224,PS,2000,Action,Atari,Driver 2,2.36,2.1,0.02,0.25,4.73,0.0
225,PS2,2003,Racing,Vivendi Games,The Simpsons: Hit & Run,1.73,2.19,0.0,0.79,4.7,0.0
226,PS,2000,Sports,Activision,Tony Hawk's Pro Skater 2,3.05,1.41,0.02,0.2,4.68,0.0
227,Wii,2008,Simulation,Nintendo,Animal Crossing: City Folk,1.87,1.12,1.32,0.37,4.68,0.0
228,PS2,2002,Action,Electronic Arts,The Lord of the Rings: The Two Towers,1.94,1.95,0.08,0.7,4.67,0.0
229,X360,2011,Racing,Microsoft Game Studios,Forza Motorsport 4,2.08,2.04,0.06,0.47,4.64,0.0
230,PS,1996,Action,Eidos Interactive,Tomb Raider,2.29,1.97,0.13,0.24,4.63,0.0
231,Wii,2007,Misc,Activision,Guitar Hero III: Legends of Rock,3.06,1.12,0.0,0.44,4.62,0.0
232,SNES,1991,Action,Nintendo,The Legend of Zelda: A Link to the Past,2.42,0.91,1.15,0.13,4.61,0.0
233,GC,2002,Action,Nintendo,The Legend of Zelda: The Wind Waker,2.6,0.99,0.89,0.13,4.6,0.0
234,Wii,2009,Sports,Sega,Mario & Sonic at the Olympic Winter Games,1.89,1.99,0.22,0.48,4.58,0.0
235,3DS,2013,Action,Nintendo,Luigi's Mansion: Dark Moon,1.78,1.39,1.1,0.3,4.58,0.0
236,WiiU,2015,Shooter,Nintendo,Splatoon,1.55,1.15,1.44,0.43,4.57,0.0
237,PS4,2014,Action,Sony Computer Entertainment,The Last of Us,1.78,1.87,0.07,0.82,4.55,0.0
238,X360,2007,Misc,Activision,Guitar Hero III: Legends of Rock,3.19,0.92,0.01,0.42,4.53,0.0
239,PS2,2004,Sports,Electronic Arts,Madden NFL 2005,4.18,0.26,0.01,0.08,4.53,0.0
240,2600,1981,Platform,Activision,Pitfall!,4.21,0.24,0.0,0.05,4.5,0.0
241,PS2,2006,Sports,Electronic Arts,Madden NFL 07,3.63,0.24,0.01,0.61,4.49,0.0
242,PS2,2002,Action,Activision,Spider-Man: The Movie,2.71,1.51,0.03,0.23,4.48,0.0
243,PS,2000,Role-Playing,Enix Corporation,Dragon Quest VII: Warriors of Eden,0.2,0.14,4.1,0.02,4.47,0.0
244,PS4,2015,Action,Sony Computer Entertainment,Uncharted: The Nathan Drake Collection,1.96,1.69,0.08,0.74,4.47,0.0
245,PS3,2014,Shooter,Activision,Call of Duty: Advanced Warfare,1.54,1.94,0.19,0.77,4.45,0.0
246,PS2,2005,Action,Sony Computer Entertainment,God of War,2.71,1.29,0.02,0.43,4.45,0.0
